rank,name,description,country,url
=36,The University of Tokyo,"The University of Tokyo was formed in 1877 when the Tokyo Kaisei School and Tokyo Medical School merged to created the faculties of law, science, letters and medicine, which came together with a university preparatory school.

Since then the University of Tokyo has merged with a number of schools and institutions to grow into a large research university.

It is made up of 10 faculties, 15 graduate schools, 11 affiliated research institutes, 13 university-wide centres, three affiliated libraries and two institutes for advanced study and the University of Tokyo Hospital.

The university has just over 450 international exchange agreements with universities from all over the world.

The University of Tokyo can count eight Nobel prize winners, 15 Japanese prime ministers and five astronauts among its alumni.",Japan,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/university-tokyo
38,Georgia Institute of Technology,"The Georgia Institute of Technology (Georgia Tech), founded in 1885 as a trade school, is among the world’s leading technological and scientific research institutions.

It has been ranked byTech. Coas North America’s top public university for ‘the best-equipped graduates to make an impact in the world of technology’, and among the top 10 public universities in North America byU.S. News and World Report. It also produces more women engineers than any other institution in the nation.

The university caters for more than 21,500 students in total and offers degrees through the colleges of Design, Computing, Engineering, Sciences, the Scheller College of Business and the Ivan Allen College of Liberal Arts.

Boasting state of the art resources and strong partnerships with business, industry and government, it comprises more than 100 centers for interdisciplinary research. The university’s Invention Studio, a 3,000 square-foot, student-run space, is open 24 hours a day, to allow students to generate ideas and develop prototypes in a collaborative environment.

Located in the Midtown district of Atlanta, the state capital, Georgia Tech offers a lush 400-acre, tree-lined campus in the heart of the city, as well as a collegiate atmosphere incorporating 20 intramural sports, 43 sports campus, campus traditions and approximately 400 student organisations.

Atlanta is a major global city and, away from campus, students have access to a vast range of cultural attractions, economic and recreational opportunities.

The city is also famed for being the birthplace of Martin Luther King Jr, with Atlanta playing an integral role in America’s Civil Rights Movement. In 1961, the university became the first in the Deep South to admit African-American students without a court order, while women students were first enrolled in 1952.

Vocational study is offered at Georgia Tech with students encouraged to get involved in community service projects and to develop practical skills that will help them secure high-end jobs. Its Centre for Career Discovery and Development is regarded as one of the best university career support offices in the country.",United States,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/georgia-institute-technology
39,University of Hong Kong,"The University of Hong Kong (HKU) is renowned for its academic excellence, world-class research programmes, global connections and social impact. Inspired by its rich heritage, but always looking forward, HKU invites students to an educational journey that will prepare them to become globally-minded thinkers and leaders, and to tackle the world’s most pressing challenges.",Hong Kong,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/university-hong-kong
40,McGill University,"McGill is the oldest university in Montreal and one of just three English-language universities in Quebec. It is a public research institution that takes its name from Glaswegian merchant, James McGill, whose bequest in 1813 led to the formation of McGill College. In 1829 it was established as the nation’s first faculty of medicine.

The university is made up of 11 faculties, with 11 schools, all housed in 300 buildings. It caters for roughly 40,000 students, 24% of whom come from over 150 countries.  This makes it the most internationally diverse medical-doctoral university in Canada. It offers degrees and diplomas in over 300 areas of study.

McGill has an alumni network of roughly 250,000 living in over 180 countries. These include singer-songwriter Leonard Cohen, actor William Shatner and astronaut Dave Williams. It also boasts 12 Nobel Prize winners and 140 Rhodes Scholars, more than any other university in the country.

Eureka moments associated with McGill include the discovery that atoms can be divided, the first map of the brain’s motor cortex, and the invention of Plexiglas.

McGill also lays claim to the invention of modern American football, hockey and basketball.

The main campus of the university is in downtown Montreal at the foot of Mount Royal. Next to the main campus is Milton Parc, an urban area that is home to many of the university’s students. The second campus is 18 miles west of the university in a more rural environment.

McGill has been a member of the Association of American Universities since 1926, an organisation comprising the top North American research universities. It is also a founding member of Universitas 21, which is an international network of leading research-intensive institutions that work collaboratively to enhance global reach and encourage international scope.

The university library is made up of 13 smaller branches and holds over six million items in total.",Canada,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/mcgill-university
42,Heidelberg University,"Heidelberg University, founded in 1386, is Germany’s oldest university. The research institution is a state university, covering a comprehensive range of subjects from the humanities to medicine, and is located in Baden-Württemberg. The university’s motto is “Semper apertus” – “always open” – and the institution aims to work in a spirit of open-mindedness and tolerance towards individuals and ideas. In 1386, Ruprecht I, Elector of the Palatinate, was granted permission by the Pope to establish the university in his home city of Heidelberg. In the 16thCentury it gained a reputation as a Calvinist stronghold, while in the 19thCentury it was known for its commitment to liberal and democratic ideals. Heidelberg University secured institutional funding in both the 2006 and 2012 guises of Germany’s Excellence Initiative and the Excellence Strategy aimed at promoting world-class research. Eleven professors at Heidelberg have been awarded a Nobel Prize since the award was established in 1901. The university places an emphasis on developing new forms of interdisciplinary collaboration that cross traditional subject boundaries. The institution also prides itself in its collaborations with non-university research institutions and companies in the Rhine-Neckar and Heidelberg regions. The city of Heidelberg has a cosmopolitan and student-friendly atmosphere. City and university alike offer a wide range of sports and leisure activities, as well as film and music festivals and a large number of museums, meaning students and staff can relax in a diverse cultural atmosphere.",Germany,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/heidelberg-university-0
43,École Polytechnique Fédérale de Lausanne,"École polytechnique fédérale de Lausanne (EPFL), or the Swiss Federal Institute of Technology in Lausanne, is a public research university in Lausanne, Switzerland. Unusually for a Swiss university, it is controlled by the federal government.

The university originated from the École special de Lausanne, a school with just 11 students. In 1869 it became the technical department of the public Académie de Lausanne. After the academy became the University of Lausanne, the école established itself as a federal institute in its own right: EPFL.

EPFL is highly regarded for its research and teaching in engineering. More recently, the university has branched out into the life sciences. It acquired the Swiss Institute for Experimental Cancer Research in 2008. The university belongs to the Swiss Federal Institutes of Technology Domain, a union of research institutes and universities which also includes ETH Zürich.

Like other Swiss universities, EPFL is unselective in its undergraduate admissions. Selection is based on the results of first year exams, which approximately half of students fail. EPFL has a highly international student population, with about half of students coming to study at the university from abroad.

EPFL has coordinated ambitious international research projects, including the Blue Brain Project and the Human Brain Project, attempting to reconstruct mammalian and human brains digitally. The institute is home to a nuclear reactor, a fusion reactor and a Blue Gene/Q supercomputer.

The EPFL campus in Écublens is located beside Lake Geneva and is powered entirely by electricity produced from hydropower. EPFL has several satellite campuses and facilities in Switzerland. The main campus hosts regular music festivals, and has two museums: the Musée Bolo and Archizoom.

Alumni of EPFL include Jacques Dubochet, winner of the 2017 Nobel Prize in Chemistry, and chess grandmaster Maxime Vachier-Lagrave.",Switzerland,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/ecole-polytechnique-federale-de-lausanne
44,University of Texas at Austin,"The go-ahead for a university to be built in Texas was first given in 1839, but a series of set-backs meant the University of Texas at Austin (UT Austin) was not established until almost a half century later. It was 1883 when UT Austin first opened its doors, with one building, eight professors and 221 students.

Today, UT Austin is a world-renowned higher education, research-intensive institution, serving more than 51,000 students annually with a teaching faculty of around 3,000.

It comprises 18 top-ranked colleges and schools, 17 libraries, seven museums and one 307-foot tower – the most iconic building on campus.

Possessing a creative and entrepreneurial spirit, as well as a strong community focus, the university states its core purpose as being ""to transform lives for the benefit of society"".

UT Austin has an alumni numbering close to half a million individuals. Among them are the award-winning actors Matthew McConaughey and Marcia Gay Harden, film director Robert Rodriguez, and journalists Bill Moyers and Walter Cronkite.

With Austin being the ‘Live Music Capital of the World’, students can take advantage of a multitude of arts and cultural opportunities on campus and in the wider locale. More than 200 music venues exist in the city, as well as a thriving film scene and year-round sunshine.

Several global tech companies (Apple, Samsung and IBM among them) have major operations in the area and Austin is, according toForbesmagazine, one of the country’s best cities for tech startups.

The university is also home to one of the largest college stadiums in the US. Its football teams, known as the Longhorns, are represented by a mascot called Bevo, a Longhorn steer that is said to embody the pride and tradition of Texas football.",United States,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/university-texas-austin
45,KU Leuven,"KU Leuven. Inspiring the outstanding.Founded in 1425,KU Leuvenhas been a centre of learning for nearly six centuries. Today, it is Belgium's highest-ranked university as well as one of the oldest and most renowned research universities in Europe.As Europe’smost innovative universityand co-founder of the League of European Research Universities (LERU), KU Leuven offers a wide variety ofstudy programmesin English, all supported by innovative and interdisciplinaryresearch.Good to know:

Science, Engineering and Technology:Faculty of ArchitectureFaculty of ScienceFaculty of Engineering ScienceFaculty of Bioscience EngineeringFaculty of Engineering Technology

Biomedical Sciences:Faculty of MedicineFaculty of Pharmaceutical SciencesFaculty of Movement and Rehabilitation Sciences

Humanities and Social Sciences:Faculty of Theology and Religious StudiesInstitute of PhilosophyFaculty of LawFaculty of Economics and BusinessFaculty of Social SciencesFaculty of ArtsFaculty of Psychology and Educational Sciences

Programmes:Overview of our internationalundergraduate degrees(bachelor programmes)Overview of our internationalgraduate degrees(master and advanced master programmes)PhD opportunities

Excellence in education and excellence in research go hand in hand. KU Leuven’s study programmes are research-based, which ensures that students acquire academic competences while also developing a critical and research-oriented attitude. Flexibility and state-of-the-art technology are integral to each study programme. A KU Leuven degree offers a significant competitive advantage and is highly valued around the worlds. The ECTS Quality Label guarantees that all credits obtained at KU Leuven are transparent and fully transferable.

KU Leuven is home to a vibrant community of international students and staff members spread out over its various campuses. 18% of the university’s students are international, representing 160 countries. KU Leuven’s Doctoral Schools provide internationally oriented PhD tracks for more than 5 000 doctoral students. KU Leuven works with a select number of top-level partner institutions worldwide and stimulates purposeful international mobility and intensive research cooperation. It continually strives to integrate the local and international student and research communities on all its campuses through a variety of programmes and activities.

Learn more about studying at KU Leuven:https://www.kuleuven.be/prospective-students/

Our university has 14campusesin ten Belgian cities, including Brussels, Ghent and Antwerp.

KU Leuven boast a strong international reputation for research excellence. As a comprehensive university, it pursues curiosity-driven and strategic frontier research as well as targeted and demand-driven research, all in an interdisciplinary environment. KU Leuven is a founding member of the League of European Research Universities (LERU), a select group of distinguished research-intensive universities that sets the tone for research in Europe. KU Leuven has a strong record of securing funding from the most competitive research funds, including the prestigious ERC Grants awarded by the European Research Council. Its total research output consistently ranks among the European top.

Read more about KU Leuven’s research:https://www.kuleuven.be/english/research/

Also visit our website for PhD opportunities:https://www.kuleuven.be/english/research/phd

KU Leuven Research & Development (LRD) is the technology transfer office of KU Leuven. Established in 1972 as one of the first technology transfer offices in Europe, LRD has a long tradition of collaborating with industry, patenting, licensing and creating spin-off companies. LRD is dedicated to valorising research, building bridges between science and industry, and transferring knowledge and technologies to the marketplace.

Visit KU Leuven LRD’s website for more information about our tech-transfer office:https://lrd.kuleuven.be/en",Belgium,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/ku-leuven
46,Paris Sciences et Lettres – PSL Research University Paris,"Located in the heart of Paris, PSL inspires dialog among and between all areas of knowledge, innovation, and creativity. With 17,000 students and 2,900 researchers, it is a human-scale university.

PSL includes 9 Component Schools and 2 Associate Members and works closely with 3 research entities. It draws on the scientific strengths of all its schools to foster unprecedented opportunities for its communities in education, research, technology transfer, and industrial and academic partnerships both nationally and internationally.

With 28 Nobel laureates, 10 Fields medal winners, 3 Abel laureates, 50 César, and 79 Molière awardees, it represents circa 10% of French research and has received more than 150 ERC grants since its creation. Its academic community draws from the full potential of PSL’s 140 laboratories, to offer students and researchers a range of interdisciplinary graduate programs, in all scientific fields.

Chosen from around the world for their talent and carefully supervised, PSL students have access to a comprehensive research-based course offering. Whether they become researchers, entrepreneurs, managers or artists, PSL students learn to formulate answers and solutions that will have an impact on our society. PSL is a public university that promotes a diverse student body, welcoming students from every social status, gender, and geographical origin.

As a major hub of arts and culture, PSL hosts many debates, lectures, exhibits, shows, and concerts throughout the year. It forms strategic partnerships with the world’s top universities. A leader in innovation, PSL supports applications of its research by creating some 50 start-ups and filing nearly 70 patents annually. In 2017 it launched its own seed fund, the PSL Innovation Fund.

PSL’s wide range of program opportunities :- 9 bachelor’s degrees : 1 CPES multidisciplinary Undergraduate program, 1 undergraduate in Sustainability Sciences, 6 generalist degrees in Management, Applied Economics, Social Science, Law, Applied Mathematics and Organizational Computer Sciences and 1 actor training program- 48 master’s degrees in all disciplines, of which about 20 are taught in English- 18 graduate programs

Université PSL : Conservatoire National Supérieur d'Art dramatique - PSL, Dauphine - PSL, École nationale des chartes - PSL, École nationale supérieure de Chimie de Paris - PSL, École normale supérieure - PSL, École Pratique des Hautes Études - PSL, ESPCI Paris - PSL, Mines Paris - PSL, Observatoire de Paris - PSL, Collège de France, Institut Curie.Partners : Conservatoire national supérieur de Musique et de Danse de Paris, École française d'Extrême-Orient, Ecole nationale d’administration, École nationale supérieure d’architecture Paris – Malaquais, École nationale supérieure des Arts Décoratifs, Beaux-Arts de Paris, Institut Louis Bachelier, La Fémis, Lycée Henri-IV.With the support of : CNRS, Inserm, Inria.",France,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris
47,"Nanyang Technological University, Singapore","Young and research-intensive, Nanyang Technological University, Singapore (NTU Singapore) has 33,000 undergraduate and postgraduate students in engineering, business, science, humanities, arts, social sciences, education and medicine.

Placed among the top universities in various global indices such as Nature Index and THE, NTU has achieved worldwide acclaim for its research output, innovation and teaching excellence.

NTU is home to world-class institutes – the National Institute of Education, S Rajaratnam School of International Studies, Earth Observatory of Singapore and Singapore Centre for Environmental Life Sciences Engineering – as well as leading research centres such as the Nanyang Environment & Water Research Institute and Energy Research Institute @ NTU.

The NTU Smart Campus is frequently listed among the top 15 most beautiful campuses globally. Besides its main campus in the western part of Singapore, NTU also has a medical campus in Novena, Singapore’s healthcare district.",Singapore,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/nanyang-technological-university-singapore
48,University of Illinois at Urbana-Champaign,"The University of Illinois at Urbana–Champaign, founded in 1867, is the flagship campus of the University of Illinois.

It is the second oldest public university in the state of Illinois, after Illinois State University, and is made up of 17 colleges offering about 150 different study programmes.  The institution is spread out over some 647 building set on a 4,500 acre campus.

The university is one of the original 37 public land-grant institutions that were founded when Abraham Lincoln signed the Morrill Act in 1862.

The libraries at the university hold one of the biggest collections of any public library in the US, with some 13 million volumes across nearly 40 library sites.

Some 11 graduates of the University of Illinois at Urbana–Champaign have gone on to win Nobel Prizes, with 18 winning Pulitzer Prizes.

The university’s Krannert Center for the Performing Arts  has four theatres, which seat 4,000 people and host about 350 performances by both students and professional acts every year. Its Krannert Art Museum and Kinkead Pavilion contain nearly 10,000 works of art, while the Spurlock Museum has 46,00 artefacts from around the world.

The largest collection of John Philip Sousa music manuscripts is housed at the university’s Sousa Archives Center for American Music.

There are 23 halls of residence at the university – enough to accommodate more than 8,500 students.

The university takes its name from the twin cities of Champaign and Urbana, which have a combined population of 207,000 and are located about 180 miles north of St Louis and 140 miles south of Chicago.",United States,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/university-illinois-urbana-champaign
49,University of Wisconsin-Madison,"Located in Madison, the capital of the State of Wisconsin, the University of Wisconsin-Madison (UW) is a public, land-grant institution that was founded in 1848. It held its first class in the February of 1849.

Home to 13 colleges and schools, the university’s main campus stretches over 900 acres along the southern shore of Lake Mendota.

The city itself has plenty to offer students, including national landmarks and the colourful State Street and Capitol Square, lined with restaurants, coffee shops, music venues and boutiques.

Madison is known as being a ‘green’ city, with plenty of opportunities for skiing, fishing, boating, and other outdoor sports. The newspaperUSA Todayranked Madison fourth best cycling town in America for its network of biking paths and bike-share program.

Its student body of 40,000 collectively represents 50 states and 124 countries.

The university boasts almost 900 student organisations and its official mascot is the Bucky Badger.

A research university, UW has been home to number of pioneering achievements, such as the discovery of vitamins in the early 20th century, the cultivation of embryonic stem cells in the late 20th century and, in 2010, the discovery of a new human species.

Since its inception, over a dozen Nobel Prize awards have been awarded to faculty and alumni of UW. Other alumni include 33 Pulitzer Prize winners, the founders of the satirical news media company,The Onion, and the founder of Earth Day, the annual event that champions environmental protection.

One of the university’s longest traditions is the ‘Wisconsin Idea’ – the principle that the university should enhance people’s lives beyond the classroom. The Idea has been synonymous with Wisconsin for over 100 years and has become the primary ethos of the university’s outreach efforts across the globe.

The university’s motto is ‘Numen Lumen’, which translates as ‘God, our light’.",United States,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/university-wisconsin-madison
50,Washington University in St Louis,"Founded in 1853, Washington University is an internationally renowned private research university with students and faculty from approximately 90 countries.

Washington University in St. Louis has been affiliated with 24 Nobel Laureates, many of whom did a significant portion of their award-winning work at the university.

Located in St. Louis, a thriving Midwestern city with a vibrant biotech and startup community, the University’s two campuses are near the cultural center of St. Louis, surrounded by parks, museums, performance venues, dining districts, and tree-lined neighborhoods offering a moderate cost of living. St. Louis is a 1-hour flight from Chicago, and offers easy direct flights to U.S. coastal cities like New York and Los Angeles.

At a Glance

Known for Excellence in Teaching and Learning

Washington University is consistently ranked among the top 20 best U.S. colleges and universities by bothU.S. News & World Reportand theWall Street Journal/Times Higher Education. Our Medical School is ranked among the top 10 byU.S. News.

In addition to our highly ranked School of Medicine, the University includes schools of Arts & Sciences, Business, Design & Visual Arts, Engineering, Law, Social Work & Public Health.

Learn More about Programs of Study

Biology and Biomedical SciencesGraduate SchoolBusinessEngineeringArchitectureLawMedicineSocial Work and Public HealthArtUndergraduate Programs

Research Strengths include

Gut microbiome in human healthBrain sciencesBiomedical engineeringOrganizational behaviorUnderstanding Alzheimer’sTackling agingAddressing obesityRobotics designExploring MarsClimate and environmental science

We are located in St. Louis, a thriving Midwestern city with a vibrant biotech and startup community. The University’s two campuses are near the cultural center of St. Louis, surrounded by parks, museums, performance venues, dining districts, and tree-lined neighborhoods offering amoderate cost of living. St. Louis is a 1-hour flight from Chicago, and offers easy direct flights to U.S. coastal cities like New York and Los Angeles.

Living in St. Louis

Washington University faculty, staff and students are integral members of the St. Louis community.

TheDanforth Campussits at the convergence of the city of St. Louis, Clayton and University City, and theMedical Centeris in the bustling Central West End neighborhood.

Students can opt to live off campus in our surrounding neighborhoods, including theDelmar Loop– called by the American Planning Association “One of the 10 Great Streets in America.”

There are more free, world-class attractions in St. Louis than any place in the nation outside of Washington, D.C. Forest Park, the 1,400-acre park located between the Danforth and Medical campuses, offers space for a wide variety of activities. The historic park was the site of the 1904 World’s Fair and is still home to the Saint Louis Art Museum, the Saint Louis Zoo, the Missouri History Museum and the St. Louis Science Center.

Getting where you want to goin St. Louis is easy.MetroLink, the area light rail system, connects Lambert Airport to the Danforth Campus, the Washington University Medical Center, North Campus, downtown St. Louis and the Metro East region of Illinois. The university provides many members of its community withfree Metro passesthat provide access to both Metro buses and the MetroLink light-rail system.

Through an international network of education programs and research initiatives, we are collaboratively engaged in making an impact on global challenges. We are not doing this important work alone. Through a global network of Partner Universities, we are collaboratively engaged in groundbreaking education programs and research initiatives that are having a tangible and significantimpacton our planet.

Global Areas of Emphasis

Climate changeEnergy & environmentFood & waterPublic healthSocial developmentOther areas

Important Programs

Funding Opportunites for Global Study",United States,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/washington-university-st-louis
=51,University of Manchester,"The University of Manchester is a place whereresearch has international impact, where students experience outstanding teaching and learning, transforming into employable graduates, and where all activity is enriched by acommitment to social responsibilityand the benefits we bring to society and the environment.

We were the first British university to set social responsibility as a core goal and in 2021 we were named the world’s number one university in theTimes Higher EducationUniversity Impact Rankings. Manchester topped the table of more than 1,100 universities from 94 countries on action taken towards the UN Sustainable Development Goals (SDGs).

Manchester was the first and most eminent of England’s civic universities. Ourrich heritageof discovery, social change and pioneering spirit remains at the heart of all we do. Today, we’re part of the prestigious Russell Group of UK universities, with a global reputation for the highest level of research and teaching, as demonstrated by our position in theTimes Higher EducationWorld University Rankings. In 2021 we were placed 51st in the world and eighth in the UK.

Manchester has a rich history of ground-breaking research and25 Nobel laureateshave studied or worked with us. This includes current members of academic staff, Professors Sir Kostya Novoselov and Sir Andre Geim, who shared the 2004 Nobel Prize in Physics for the isolation of graphene’s properties.

Other pioneering discoveries include the work of Tom Kilburn, Freddie Williams and Alan Turing on the modern computer – the first stored program was run at Manchester – and the development of modern economics by trailblazers Sir John Richard Hicks and Sir William Arthur Lewis. The latter, on his appointment at Manchester, was Britain’s first Black professor. Manchester also led the way with the appointment of Baroness Jean McFarlane as the first Professor of Nursing in England. McFarlane, a pioneer within the field of healthcare, established the country’s first nursing degree.

Today, nearly half of our academic and research staff work on interdisciplinary research. Our fiveresearch beacons– advanced materials, cancer, energy, global inequalities and industrial biotechnology – are examples of how our cross-sector partnerships are helping to find unique solutions to some of the world’s biggest challenges.

Our place asone of the UK’s top research universitieswas confirmed in the results of the 2014 Research Excellence Framework, the system for assessing the quality of research in UK higher education institutions. 83% of our research activity was judged to be ‘world-leading’ (4*) or ‘internationally excellent’ (3*), and we were ranked fifth in terms of research power. This environment is ideal for PhD students. Those who choose to undertake theirproject at Manchestercan collaborate with academics whose work is having global impact and access a dedicated enterprise centre and doctoral college committed to researcher development.

Through our Innovation Factory, we invest in the commercialisation of research via spin-out companies and partnerships with industry. These commercialisation activities have contributed almost £868 million to the UK economy since 2004 and we’re ranked 8th in the Reuters Top 100 Most Innovative Universities in Europe (2019). We have a host of innovation initiatives designed to engage students, staff and local communities with the potential of research at Manchester. These include the Masood Entrepreneurship Centre and ID Manchester, a new billion-pound innovation district being developed in the heart of Manchester and alongside the University.

Our student community is one of the largest in the UK. At present we have 40,485 students studying at the University and we’re proud to welcome almost 14,000international studentsto our community – more than a quarter of the student body.

World-class research forms the foundation of all our teaching and we offer more than 1,000 degree programmes acrossundergraduate,postgraduate taughtandresearch. These programmes inspire learners with challenging ideas, knowledge and wisdom, and help them develop the capabilities employers need most. So it’s no surprise that we’re University of the year forgraduate employment(The Times and Sunday TimesGood University Guide, 2020).

We’re committed to enhancing the quality of our learning experience and growing global access to a Manchester education. We’re making a multi-million pound investment in flexible, blended learning to create a more inclusive and international environment for learners of all ages and backgrounds. We havefour global centres– in Dubai, Hong Kong, Shanghai and Singapore – offering a growing range of online and blended learning courses that combine face-to-face and digital activities.

For students choosing to study on campus, the city ofManchesteris within easy reach. It’s a welcoming and diverse place, with up to 200 languages spoken. Manchester is also one of Britain’s most celebrated cities – judged to be the top UK city to live in for 2019 (theEconomist’sGlobal Liveability Index).

The University plays a big part in this, with our own Manchester Museum, The John Rylands Research Institute and Library and the Whitworth – an award-winning art gallery on campus – among the city’s cultural landmarks, and the iconic Lovell Telescope just a short drive away at our Jodrell Bank Discovery Centre, now a UNESCO World Heritage Site.

The University is ideally placed to address many of the world’s major social and environmental challenges. Our interdisciplinary teams are continually collaborating and evolving their research to find solutions to the UN’s 17 Sustainable Development Goals, delivering ahealthier, fairer and greener world.

On a local level, we’re committed to social inclusion as one of our priority themes. We break down barriers so that talented, capable students can access higher education, regardless of their background. In 2019/20 we provided more than £12.3 million of funding via the Manchester Bursary to help 6,276 students access our University.

Manchester was the first British university to setsocial responsibilityas a core goal, sitting equally alongside our commitments to world-class research and an outstanding learning and student experience.

Our societal impact has been ranked the best in the UK byTimes Higher Educationbased on theUN’s Sustainable Development Goalsframework. The prestigious ranking comes in the 2020Times Higher EducationUniversity Impact Rankings. We competed against more than 500 universities from around the world.

Social inclusionis one of our priority themes. We break down barriers so that talented, capable students can access higher education, regardless of their background. In 2019/20 we provided more than £12.3 million of funding via the Manchester Bursary to help 6,276 students access our University.

Our students are inspired to go beyond their studies to contribute to positive change, improving their lives and those of others. We encourage all our students to participate inStellify, a programme of transformative activities designed to help students grow and develop into the leaders of tomorrow. Activities include taking on ethical grand challenges relating to equality, sustainability and social justice, making a difference through community volunteering and developing key skills through leadership roles or work experience. Students can even choose to work towards gaining a prestigious University award.",United Kingdom,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/university-manchester
=51,University of Sydney,"The University of Sydney is one of the world’s leading, comprehensive research and teaching universities. We offer an exceptional range of disciplines – more than 400 areas of study – and our community includes more than 70,000 students, 8000 permanent and fixed-term staff and350,000 alumniin more than 170 countries.

Leadership has always been at the core of our values. We were one of the first universities in the world to admit students solely on academic merit, and to open our doors to women on the same basis as men. Our aim is to make lives better not just by producing leaders of society, but through equipping our people with the qualities that allow them to serve all of our communities at every level.

In creating the first university in Australia in 1850, our founders recognised the power of education to inspire positive change. We hold that belief just as strongly today.

Our researchis driven by the big picture. From combating the world’s deadliest diseases to inventing tiny devices that make a super-sized difference to computing, we excel in innovative collaboration.

Supported by more than 90research centres, our researchers arefinding solutions to the world’s greatest challenges– and many others – by changing the way they look at them.

We work with the best companies, including Microsoft, GE and Qantas, to generate products, systems and services that benefit the communities we serve – locally, nationally and globally.

The world is changing, and university education needs to change as well. We’ve reimagined theSydney Undergraduate Experience– the way we teach and the way you’ll learn – to prepare you for a future full of possibilities.

We recognise that the future of work will be very different, so it’s our ambition that every University of Sydney student will complete their degree with the confidence and ability to think critically, collaborate productively and influence the world.",Australia,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/university-sydney
53,University of Southern California,"The University of Southern California opened for business in Los Angeles in 1880, when the city still lacked even basic amenities such as paving stones and electric light, and long before it became the glitzy capital of the movie industry. Although spearheaded by a judge called Robert Maclay Widney and a number of like-minded citizens, it took almost 10 years for their plans for a university in the region to come to fruition. It was eventually made possible by the donation of land from a diverse group of philanthropists: a Protestant horticulturist; an Irish pharmacist (and former governor of California); and a German-Jewish banker.

Although it initially welcomed only 53 students, USC has since grown into an internationally renowned research university and the largest private-sector employer in its city. Close to 4,000 faculty are now split between 21 separate schools and units. While the main campus can be found in the centre of Los Angeles, the three teaching hospitals and Schools of Medicine and Pharmacy are grouped together on a separate Health Sciences campus to the north east. Specialisms include cancer, stem cell, regenerative and sports medicine. Equally significant is the city children’s hospital staffed by USC’s Keck School of Medicine.

Physicist Murray Gell-Mann, who postulated the existence of quarks and gave them that name, is one of five Nobel laureates. Home to a School of Cinema Arts since 2011, the university numbers among its alumni many who have gone on to achieve great fame in show business such as Hollywood stars John Wayne and Clint Eastwood and film-maker George Lucas. Equally notable is astronaut Neil Armstrong, the first man to walk on the moon.",United States,https://web.archive.org/web/20210602120510/https://www.timeshighereducation.com/world-university-rankings/university-southern-california
