name,rank,country,description
ETH Zurich,11,Switzerland,"Established in 1855 as the Federal Polytechnic School, a century and a half later ETH Zurich is now considered among some of the world's most prestigious universities in science and technology.

The institute has produced over 20 Nobel Prize Laureates, including the father of modern physics and the inventor of the general theory of relativity Albert Einstein.

The university, commonly known as Swiss Federal Institute of Technology Zurich or Poly for short, has based its success on Swiss traditions of cherishing fundamental principles of freedom, individual responsibility, entrepreneurial spirit and open-minded approach to education. It remains a European research pioneer, which tries to offer practical solutions, which address worldwide challenges.

With 16 departments that conduct solid academic interdisciplinary research in subjects ranging from architecture and biology to chemistry and physics, the university makes a notable contribution to the global science and technology industry.

To achieve this, ETH Zurich heavily relies on its strong ties with researchers, foreign partners and key stakeholders who also support its cutting-edge research.

Located in Zurich, Switzerland's largest city, ETH Zurich is largely based on a modern main campus built in the outskirts of the town, with a significant endowment.

Students, who follow an intensive course of academic study, have the chance to attend regular exhibitions and concerts, but also to benefit from the numerous academic events held on campus, acting as a meeting point for some of the best scientists in Europe.

Since the 1880s, university students have had the opportunity to hit the dancefloor at the classic ball event Polyball, enjoying the performance of a live orchestra and famous national singers."
Tsinghua University,12,China,"The campus of Tsinghua University is situated on the site of the former imperial gardens of the Qing Dynasty, and surrounded by a number of historical sites in northwest Beijing.

Established in 1911, Tsinghua University is a unique comprehensive university bridging China and the world, connecting ancient and modern, and encompassing the arts and sciences. As one of China's most prestigious and influential universities, Tsinghua is committed to cultivating global citizens who will thrive in today's world and become tomorrow's leaders. Through the pursuit of education and research at the highest level of excellence, Tsinghua is developing innovative solutions that will help solve pressing problems in China and the world."
Peking University,13,China,"Founded in 1898 and originally known as the Imperial University of Peking, Peking University (PKU) was the first national university in Chinese history and has been a leading institution of higher education and research in China since its establishment. The University’s core values are defined as “Freedom of thought, Embrace of diversity”.

Throughout its history, Peking University has played an integral role in the advancement of knowledge and the betterment of society. Generations of preeminent scholars, politicians, entrepreneurs, and innovators educated at Peking University have profoundly shaped China’s modernization and will continue to pioneer the nation’s developments.

Peking University celebrated the 120th anniversary of its founding in 2018. In 2019, Peking University launched its Global Excellence Strategy, characterized by CLOUDS (an acronym for its goals of Creativity, Leadership, Openness, Uniqueness, Diversity and Shaping), which has ushered in a new era of international development for Peking University."
University of Pennsylvania,14,United States,"Given its status as one of the nine original Colonial Colleges – institutions established before the US became a sovereign nation after the American Revolution – and a founding member of the Association of American Universities, it is no surprise the University of Pennsylvania (Penn) claims to be the first fully fledged (multi-faculty) “university” in the USA.

Though Penn’s origins date back to 1740, it was until 1749 when Benjamin Franklin published his famous essay,Proposals Relating to the Education of Youth, circulated it among Philadelphia’s prominent citizens, and organized 24 trustees to form an institution of higher education based on his proposals. It was 30 years later when Penn was granted university status. Since then, Penn has expanded into a sprawling 302-acre campus with 200 buildings. It boasts many notable “first” landmarks on campus including the country’s first student union, double-decker college football stadium, and the world’s first collegiate business school – The Wharton School.

Penn’s prowess is not restricted to just infrastructure. The university has an exhaustive list of notable alumni from all walks of life. Penn has affiliations with over 25 Nobel Laureates including physicist Raymond Davis Jr and economist Lawrence Klein, and has accounted for numerous heads of state. Ninth president of the USA, William Henry Harrison, trod the boards at Penn in 1791, while Nnamdi Azikiwe – former president of Nigeria – and Kwame Nkrumah – former prime minister and president of Ghana – both gained multiple degrees from the institution. Noted modernist poets and friends Ezra Pound and William Carlos Williams are among the literary luminaries from the institution."
The University of Chicago,15,United States,"The University of Chicago came to life in the twilight of the 19th century, with the state of Illinois issuing its official certificate of incorporation in September 1890. A $600,000 pledge from oil magnate John D. Rockefeller helped to get the university off the ground, while local department store owner Marshall Field donated land. The vision of the university’s first president was of a “bran splinter new” institution “as solid as the ancient hills” – a modern research university with a commitment to equal opportunities and non-sectarianism.

This vision has been at the core of Chicago’s existence, enshrined in its motto: Crescat scientia; vita excolatur (“Let knowledge grow from more to more; and so be human life enriched”). The university has lived up to this by being at the forefront of major academic endeavour and discovery. It has connections to more than 80 Nobel laureates, 30 National Medal winners (across humanities, arts and science) and nine Fields Medallists. It has also been awarded nearly 50 MacArthur “genius grants”.

Current faculty who have won a Nobel prize while at Chicago include economists Robert E. Lucas (1995), James J. Heckman (2000), Roger Myerson (2007), Lars Peter Hansen (2013), Eugene Fama (2013), and physicist James Cronin (1980). Ngô Bao Châu, the first Vietnamese to win the Fields Medal (2010), is the Francis and Rose Yuen distinguished service professor in Chicago’s department of mathematics.

Notable alumni of Chicago include authors Saul Bellow and Susan Sontag, astronomer Edwin Hubble, film critic Roger Ebert, and everyone’s favourite celluloid academic and archaeologist, Indiana Jones – who also taught at the university.

While Chicago routinely ranks in the world’s top institutions academically, its prowess extends to the sporting arena. It was a founding member of the Big Ten Conference, the oldest, highest-level intercollegiate athletics conference in the US. Today the university sponsors 19 intercollegiate sports, which cater for more than 500 participants and 330 competitions taking place each year. They all play under the same name, “the Maroons”, which the university was nicknamed on account of its official colour.

The university’s campus sprawls over more than 210 acres in the Hyde Park and Woodlawn neighbourhoods, which lie south of downtown Chicago. Its first buildings were modelled on the Gothic style of the University of Oxford, but by the mid-20th century, modern buildings had begun popping up to intersperse old and new. It now blends a mix of classical and contemporary architecture from the Mitchell Tower and Robie House, architect Frank Lloyd Wright’s historic residence, through to the Laird Bell Law Quadrangle.

The city of Chicago itself is the university’s “laboratory, playground, and muse”, with downtown highlights encompassing restaurants, shopping and cultural attractions. In one day you could visit the Navy Pier amusement park, the Art Institute of Chicago or shop on the Magnificent Mile.

With satellite campuses and facilities overseas, UChicago has transcended its US geography to make itself an international institution. It invites prospective students to step inside its walls and “walk along the paths of Nobel laureates, pathbreaking researchers, and tomorrow’s leaders”."
Johns Hopkins University,16,United States,"Founded in 1876, Johns Hopkins University (JHU) is a private research university based in Baltimore, Maryland. It takes its name from its first benefactor, the American abolitionist, philanthropist and entrepreneur, Johns Hopkins.

The university’s motto is ‘Knowledge for the world.’

JHU serves more than 21,000 students through nine academic divisions: Zanvyl Krieger School of Arts and Sciences, Whiting School of Engineering, Carey Business School, School of Education, School of Medicine, School of Nursing, Peabody Institute (for music), Bloomberg School of Public Health, and the Paul H. Nitze School of Advanced International Studies.

The university has four campuses in Baltimore with regional satellite campuses throughout Maryland, and a biotech hub north of Washington, DC.

It has a presence in more than 150 countries including Argentina, France, China, Italy and Singapore, and an extensive study abroad programme. Medical and nursing students can take medical electives in 19 countries and all students pursuing a BA in general engineering are encouraged to spend at least one semester studying abroad.

More than 3,000 of the university’s students are international, totalling 20 per cent of the student body, and representing 120 different countries.

The university counts 36 Nobel Laureates among past and present faculty and students.

Other notable alumni include Woodrow Wilson, 28th president of the USA, the journalist PJ O’Rourke, film director Wes Craven, and the Pulitzer Prize–winning columnist Russell Baker.

University sports teams are known as the Blue Jays. Their team colours are blue and black and the blue jay bird, native to North America, is the team’s official mascot.

Once a working-class port, Baltimore is now a thriving, culturally diverse city (Maryland’s largest) that has acquired the nickname ‘Charm City’.

Its main campus comprises red-brick buildings, an iconic clock tower and vast areas of woodland."
National University of Singapore,17,Singapore,"The National University of Singapore (NUS) is Singapore’s flagship university, which offers a global approach to education, research and entrepreneurship, with a focus on Asian perspectives and expertise. We have 16 colleges, faculties and schools across three campuses in Singapore, with more than 40,000 students enriching our vibrant and diverse campus community. We have also established our NUS Overseas Colleges programme in more than 100 hubs around the world.

Our multidisciplinary and real-world approach to education, research and entrepreneurship enables us to work closely with industry, governments and academia to address crucial and complex issues relevant to Asia and the world. Researchers in our faculties, university-level research institutes, research centres of excellence and corporate labs focus on themes that include energy; environmental and urban sustainability; treatment and prevention of diseases; active ageing; advanced materials; risk management and resilience of financial systems; Asian studies; and Smart Nation capabilities such as artificial intelligence, data science, operations research and cybersecurity.

For more information on NUS, please visitwww.nus.edu.sg."
Cornell University,=18,United States,"Founded in 1865, Cornell University is a private Ivy League university with a mission to “discover, preserve, and disseminate knowledge”. A federal land grant university with a private endowment, Cornell has six locations across the world. Its main campus in Ithaca, New York State, covers 2,300 acres of the Finger Lakes region, and is so extensive that students can go hiking without even leaving the university.

It also has a graduate school of medical sciences in New York city, a base in Rome where students study art, architecture and urban planning, a centre for students to gain work experience in Washington DC, and a medical college at Education City in Doha, Qatar.

Cornell counts 45 Nobel laureates among its faculty members and alumni. Other notable alumni include Tsai Ing-wen, the president-elect of Taiwan, and Huey Lewis, frontman for the band Huey Lewis and the News.

The university boasts a number of unique student traditions, such as Dragon Day, when, in late March each year, a huge dragon is paraded across campus by first-year students of the College of Architecture, Art and Planning. Heckled by rival students from the College of Engineering, the dragon is then burned in Cornell’s Arts Quad. This ritual can be traced back to high jinx of the architecture class of 1901, and was formalised by students in the 1950s.

Another tradition that has continued since Cornell’s opening in 1868 is the Cornell Chimes – daily bell performances by “chimesmasters”. These performers are selected by rigorous, 10 week long competitions, although chimesmasters do not need to have any previous experience playing the chimes. After climbing the 161 steps to the top of the historic McGraw Tower where the bells are housed, chimesmasters play from a collection of more than 2,500 songs, from musicians ranging from Schubert to the Beatles."
"University of California, Los Angeles",=18,United States,"University of California, Los Angeles (UCLA) offers opportunities for inquiry, discovery, and education – and yet is a close community that provides a sense of belonging.

The campus is home to world-renowned faculty who teach in 230 undergraduate and graduate majors, with more than two dozen academic programmes ranked among the top 20 in their disciplines. The faculty provide more than 5,000 courses annually, with two-thirds of undergraduate classes having fewer than 30 students.

For many freshmen, the undergraduate experience begins with a year-long Cluster Course, a team-taught exploration of a challenging interdisciplinary topic.

In addition, 200 Fiat Lux Seminars are offered, taught by senior faculty in small-group settings in which freshmen have priority enrolment. Undergraduate research projects are available as early as freshman year, and more than half of UCLA students graduate with research experience in the humanities, social sciences, or STEM (science, technology, engineering and math) disciplines.

UCLA also encourages students to study abroad – more than 2,400 do so each year – with more than 275 programmes in 39 countries.

Community service is also a cornerstone of undergraduate education at UCLA. Students can participate through programmes at the Volunteer Center – with more than 220 student groups engaged in community service – as well as on Volunteer Day, which brings together 8,000 UCLA volunteers annually.

For more activities outside the classroom, UCLA offers 1,000 student organisations providing students with ample opportunity to pursue interests and projects with fellow students. UCLA is home to leading research centres and institutes, top performing arts programmes, an elite Division I athletics programme and the preeminent hospital in the Western United States."
Columbia University,20,United States,"Founded in 1754 as King’s College by Royal Charter of King George II of England, Columbia is the oldest university in the state of New York and one of the oldest in the US.

Its main landmark is the Low Memorial Library, which was built in the Roman Classical style and still houses the university’s central administration offices.

As well as its main campus in the heart of New York City on Broadway, Columbia has two facilities outside Manhattan: Nevis Laboratories, a centre for the study of high-energy experimental particle and nuclear physics in Irvington, New York, and the Lamont-Doherty Earth Observatory in Palisades, New York.

More than 80 faculty members, adjunct staff and alumni of Columbia have won a Nobel prize since 1901, when the awards were first granted. These include chemist Robert Lefkowitz, economist Joseph Stiglitz and US President Barack Obama, who was given the Peace Prize in 2009.

Columbia has also educated Founding Father of the US Alexander Hamilton, US presidents Theodore and Franklin Roosevelt and actors Jake Gyllenhaal, Katie Holmes and Joseph Gordon-Levitt.

The private research-based university has 20 schools – which include architecture, planning and preservation; business; Jewish theological seminary; and law – and 23 libraries that are scattered across the city. Sponsored research from its medical centre produces more than $600 million annually.

Columbia Technology Ventures, the institution’s technology transfer office, manages more than 400 new inventions each year and has been involved in launching over 150 start-up companies based on Columbia’s technologies.

The university also has nine Columbia Global Centres, which aim to promote and facilitate collaboration between the university’s staff, students and alumni in order to address global challenges. These are in China, Jordan, Turkey, Kenya, India, France, Chile, Brazil and New York City.

In 2014-15, the university’s total endowment value passed the $9.6 billion mark.

Lee Bollinger became Columbia University’s 19th president in 2002, making him the longest-serving leader of an Ivy League institution."
University of Toronto,21,Canada,"The University of Toronto (UofT) is among the world’s most prestigious universities. Founded in 1827, it offers over 700 undergraduate degree and 200 postgraduate degree programmes to a cohort of almost 60,000 students.

With a longstanding reputation for innovation and research, the University of Toronto was the birthplace of such ground-breaking scientific moments as the discovery of insulin and stem cell research, and the invention of the electron microscope.

The university also cites teaching as a strength in disciplines spanning medicine, business, engineering, humanities, education, and more.

With a reputation for producing leaders, it counts five Canadian prime ministers among its former students and associations with 10 Nobel laureates. Other notable alumni include the actor Donald Sutherland and the writers Margaret Atwood and Michael Ondaatje.

It is a multi-campus university, with its St George campus in downtown Toronto likened to Oxford and Cambridge on account of its mix of green space and historical architecture.

The university’s Mississauga campus, on the banks of the Credit River to the west of the city, includes 225 acres of protected green belt, while its Scarborough campus is home to a new aquatics centre.

The university attracts many sports fans and boasts a fearsome reputation in both football and ice-hockey. Other campus attractions include more than 1,000 student organisations in addition to a recreational centre and student facilities that include an art gallery, theatre and concert hall.

Toronto itself is one of the most dynamic, vibrant cities in the world, one which places a high priority on arts and culture, and diversity and tolerance.

The city is also major international centre for business and finance, and is the third largest hub for film and television production after Los Angeles and New York.

With international students enrolled from around 160 countries, the university prides itself on being as cosmopolitan and multicultural as the city it inhabits.

Laying claim to a global mindset, the university actively partners with other leading higher education institutions and industry partners around the world to provide international opportunities to its students and faculty."
